,0
322,991061.7408542236
323,991061.7408542236
324,991061.7408542236
325,991061.7408542236
326,991061.7408542236
327,991061.7408542236
328,991061.7408542236
329,991419.1378036841
330,991419.1378036841
331,991419.1378036841
332,991419.1378036841
333,991419.1378036841
334,991419.1378036841
335,991419.1378036841
336,991419.1378036841
337,991419.1378036841
338,991419.1378036841
339,991419.1378036841
340,991419.1378036841
341,991419.1378036841
342,991419.1378036841
343,992611.3205090758
344,991774.7831573345
345,991655.4790814103
346,991774.7544577733
347,991774.7544577733
348,991774.7544577733
349,991774.7544577733
350,991774.7544577733
351,991774.7544577733
352,991774.7544577733
353,991774.7544577733
354,991774.7544577733
355,991774.7544577733
356,991774.7544577733
357,991774.7544577733
358,991774.7544577733
359,991416.842240358
360,991416.842240358
361,991416.842240358
362,991416.842240358
363,991416.842240358
364,991416.842240358
365,991416.842240358
366,991416.842240358
367,991416.842240358
368,991416.842240358
369,991416.842240358
370,991416.842240358
371,991416.842240358
372,991416.842240358
373,991059.1882568658
374,991059.1882568658
375,991178.3202665133
376,991178.3202665133
377,991178.3202665133
378,991178.3202665133
379,991178.3202665133
380,991178.3202665133
381,991059.159612478
382,991059.159612478
383,991059.159612478
384,991059.159612478
385,991059.159612478
386,990106.1035628447
387,989749.3942664969
388,989749.3942664969
389,989630.5768122032
390,989630.5768122032
391,989630.5768122032
392,989511.7878820854
393,989511.7878820854
394,989511.7878820854
395,989511.7878820854
396,989511.7878820854
397,989511.7878820854
398,989036.7462172356
399,988918.0997745511
400,988918.0997745511
401,988918.0997745511
402,988918.0997745511
403,988918.0997745511
404,988918.0997745511
405,988918.0997745511
406,988918.0997745511
407,988918.0997745511
408,988918.0997745511
409,988918.0997745511
410,988918.0997745511
411,988918.0997745511
412,988918.0997745511
413,988799.4817944894
414,988918.0713221693
415,989036.6892988182
416,989036.6892988182
417,989036.6892988182
418,989036.6892988182
419,989036.6892988182
420,989036.6892988182
421,989036.6892988182
422,989036.6892988182
423,989036.6892988182
424,989036.6892988182
425,989036.6892988182
426,989273.9821705308
427,989273.9821705308
428,989273.9821705308
429,989273.9821705308
430,989273.9821705308
431,989273.9821705308
432,989630.0923153007
433,989630.0923153007
434,989630.0923153007
435,989630.0923153007
436,989630.0923153007
437,989630.0923153007
438,989630.0923153007
439,989630.0923153007
440,989630.0923153007
441,989630.0923153007
442,989630.0923153007
443,989630.0923153007
444,989630.0923153007
445,989630.0923153007
446,989748.8811872628
447,989748.8811872628
448,989867.6985799624
449,989867.6985799624
450,989867.6985799624
451,989986.5445036723
452,989986.5445036723
453,989986.5445036723
454,989986.5445036723
455,989986.5445036723
456,989986.5445036723
457,989748.7955736762
458,989629.9781912544
459,989629.9781912544
460,989629.9781912544
461,989748.7670495177
462,989748.7670495177
463,989748.7670495177
464,989748.7670495177
465,989748.7670495177
466,989748.7670495177
467,989748.7670495177
468,989748.7670495177
469,989748.7670495177
470,989629.9496705201
471,989629.9496705201
472,989629.9496705201
473,989629.9496705201
474,989629.9496705201
475,989629.9496705201
476,989629.9496705201
477,989629.9496705201
478,989629.9496705201
479,989629.9496705201
480,989629.9496705201
481,989629.9496705201
482,989629.9496705201
483,989629.9496705201
484,989748.73852536
485,989748.73852536
486,989748.73852536
487,989748.73852536
488,989748.73852536
489,989629.9211497867
490,989629.9211497867
491,989629.9211497867
492,989629.9211497867
493,989629.9211497867
494,989629.9211497867
495,989629.9211497867
496,989629.9211497867
497,989629.9211497867
498,989629.9211497867
499,989629.9211497867
500,989629.9211497867
501,989629.9211497867
502,989629.9211497867
503,988798.3991898721
504,988916.988587712
505,988916.988587712
506,988916.988587712
507,988916.988587712
508,988916.988587712
509,988916.988587712
510,988916.988587712
511,989272.8421280459
512,989391.5453728418
513,989391.5453728418
514,989510.277107556
515,989510.277107556
516,989510.277107556
517,989629.0373424464
518,989629.0373424464
519,989629.0373424464
520,989629.0373424464
521,989629.0373424464
522,989629.0373424464
523,989629.0373424464
524,989629.0373424464
525,989629.0373424464
526,989629.0373424464
527,989629.0373424464
528,989629.0373424464
529,989747.8260877762
530,989747.8260877762
531,989747.8260877762
532,989747.8260877762
533,990341.9124179608
534,990341.9124179608
535,990341.9124179608
536,990103.9924390017
537,990103.9924390017
538,990103.9924390017
539,990103.9924390017
540,990103.9924390017
541,990103.9924390017
542,990103.9924390017
543,990103.9924390017
544,990103.9924390017
545,990103.9924390017
546,990103.9924390017
547,990103.9924390017
548,990103.9924390017
549,990103.9924390017
550,990222.8952842567
551,990222.8952842567
552,990222.8952842567
553,990103.9638771844
554,990103.9638771844
555,989985.0610353594
556,989985.0610353594
557,989985.0610353594
558,989985.0610353594
559,989985.0610353594
560,990222.8096090951
561,990222.8096090951
562,990222.8096090951
563,990222.8096090951
564,990222.8096090951
565,990341.7410058775
566,990341.7410058775
567,990341.7410058775
568,990341.7410058775
569,990460.7009747672
570,990460.7009747672
571,990460.7009747672
572,990460.7009747672
573,990460.7009747672
574,990460.7009747672
575,990460.7009747672
576,990460.7009747672
577,990460.7009747672
578,990460.7009747672
579,990341.7124234728
580,990341.7124234728
581,990341.7124234728
582,990341.7124234728
583,990341.7124234728
584,990341.7124234728
585,990341.7124234728
586,990341.7124234728
587,990341.7124234728
588,990341.7124234728
589,990341.7124234728
590,990341.7124234728
591,990341.7124234728
592,990341.7124234728
593,989984.832527104
594,989984.832527104
595,989984.832527104
596,990103.7067865334
597,989984.8039755826
598,989984.8039755826
599,989984.8039755826
600,989984.8039755826
601,990103.6782315836
602,990341.4838466266
603,990341.4838466266
604,990341.4838466266
605,990341.4838466266
606,990341.4838466266
607,990341.4838466266
608,989984.6040326278
609,989865.7298006353
610,989865.7298006353
611,989865.7298006353
612,989628.0384259683
613,989746.8270513946
614,989746.8270513946
615,989628.00990529
616,989628.00990529
617,989628.00990529
618,989628.00990529
619,989628.00990529
620,989628.00990529
621,989628.00990529
622,989628.00990529
623,989628.00990529
624,989628.00990529
625,989628.00990529
626,989628.00990529
627,989628.00990529
628,989628.00990529
629,989390.4326612845
630,989390.4326612845
631,989390.4326612845
632,989390.4326612845
633,989390.4326612845
634,989390.4326612845
635,989390.4326612845
636,989390.4326612845
637,989390.4326612845
638,989390.4326612845
639,989390.4326612845
640,989390.4326612845
641,989390.4326612845
642,989390.4326612845
643,990102.822268385
644,990102.822268385
645,990102.822268385
646,990102.822268385
647,990102.822268385
648,990102.822268385
649,990102.822268385
650,990102.822268385
651,990102.822268385
652,990102.822268385
653,990102.822268385
654,990102.822268385
655,990459.5303825684
656,990459.5303825684
657,990459.5303825684
658,990459.5303825684
659,990459.5303825684
660,990459.5303825684
661,990459.5303825684
662,990578.5187932341
663,990697.5357965735
664,990697.5357965735
665,990697.5357965735
666,990697.5357965735
